Date,Symbol,Order,Shares
2008-02-28,IBM,SELL,100
2008-03-27,IBM,BUY,100
2008-04-22,IBM,SELL,100
2008-05-21,IBM,BUY,100
2008-07-01,IBM,BUY,100
2008-07-08,IBM,SELL,100
2008-07-22,IBM,SELL,100
2008-08-11,IBM,BUY,100
2008-08-21,IBM,BUY,100
2008-09-19,IBM,SELL,100
2008-10-10,IBM,BUY,100
2008-10-30,IBM,SELL,100
2008-11-24,IBM,BUY,100
2008-12-03,IBM,SELL,100
2009-01-08,IBM,SELL,100
2009-01-14,IBM,BUY,100
2009-01-23,IBM,SELL,100
2009-02-17,IBM,BUY,100
2009-02-25,IBM,BUY,100
2009-02-27,IBM,SELL,100
2009-03-25,IBM,SELL,100
2009-04-27,IBM,BUY,100
2009-05-05,IBM,SELL,100
2009-05-08,IBM,BUY,100
2009-06-03,IBM,SELL,100
2009-06-18,IBM,BUY,100
2009-07-08,IBM,BUY,100
2009-07-15,IBM,SELL,100
2009-07-22,IBM,SELL,100
2009-08-17,IBM,BUY,100
2009-09-04,IBM,BUY,100
2009-09-11,IBM,SELL,100
2009-09-18,IBM,SELL,100
2009-09-29,IBM,BUY,100
2009-10-15,IBM,SELL,100
2009-10-16,IBM,BUY,100
2009-12-14,IBM,SELL,100
2009-12-17,IBM,BUY,100
2009-12-30,IBM,SELL,100
